,date_local,time_local,Ozone_Maricopa,Ozone_LosAngeles,Ozone_Cook,Ozone_SanDiego,Ozone_Harris,Ozone_Orange,Ozone_MiamiDade,Ozone_Dallas,Ozone_Riverside,Ozone_Queens
1324,2019-02-25,2020-11-09 04:00:00,0.01923809523809524,0.007076923076923078,0.034,0.021666666666666667,0.023062500000000007,0.007666666666666666,0.010499999999999999,0.006999999999999999,0.012583333333333334,0.041
1325,2019-02-25,2020-11-09 05:00:00,0.01604761904761905,0.005384615384615385,0.033,0.016428571428571428,0.020312500000000004,0.006999999999999999,0.0105,0.010333333333333333,0.012461538461538461,0.039
1326,2019-02-25,2020-11-09 06:00:00,0.013714285714285715,0.0038461538461538472,0.033,0.01757142857142857,0.0191875,0.005,0.0115,0.011999999999999999,0.01023076923076923,0.037
1327,2019-02-25,2020-11-09 07:00:00,0.01633333333333334,0.006076923076923078,0.034,0.01557142857142857,0.020062500000000004,0.01,0.009000000000000001,0.009,0.01507142857142857,0.036
1328,2019-02-25,2020-11-09 08:00:00,0.02325000000000001,0.012307692307692308,0.035,0.02042857142857143,0.02212500000000001,0.026,0.012,0.014666666666666668,0.02328571428571429,0.038
1329,2019-02-25,2020-11-09 09:00:00,0.028238095238095246,0.023083333333333334,0.034,0.028000000000000004,0.024437500000000008,0.034999999999999996,0.02,0.024000000000000004,0.03315384615384616,0.037
1330,2019-02-25,2020-11-09 10:00:00,0.0332857142857143,0.033615384615384616,0.035,0.035833333333333335,0.026866666666666674,0.041,0.028999999999999998,0.030666666666666665,0.04146153846153845,0.038
1331,2019-02-25,2020-11-09 11:00:00,0.03650000000000001,0.040461538461538465,0.036,0.043833333333333335,0.029400000000000013,0.04933333333333333,0.034,0.034999999999999996,0.0486923076923077,0.038
1332,2019-02-25,2020-11-09 12:00:00,0.04070000000000001,0.044769230769230776,0.035,0.047799999999999995,0.03180000000000001,0.05833333333333333,0.036,0.03966666666666666,0.05361538461538463,0.039
1333,2019-02-25,2020-11-09 13:00:00,0.04395000000000001,0.04669230769230769,0.036,0.049749999999999996,0.03175,0.06366666666666666,0.036,0.042666666666666665,0.05569230769230771,0.04
1334,2019-02-25,2020-11-09 14:00:00,0.046761904761904775,0.047846153846153844,0.037,0.05466666666666666,0.027142857142857153,0.05833333333333333,0.036,0.044333333333333336,0.057230769230769245,0.041
1335,2019-02-25,2020-11-09 15:00:00,0.048227272727272744,0.04707692307692308,0.036,0.05628571428571428,0.02607142857142858,0.05333333333333334,0.036,0.045000000000000005,0.058153846153846174,0.041
1336,2019-02-25,2020-11-09 16:00:00,0.04872727272727274,0.045461538461538456,0.036,0.05685714285714285,0.02557142857142858,0.04699999999999999,0.0395,0.045000000000000005,0.05676923076923078,0.04
